customer_id,account_open_date,acquisition_channel,kyc_level,location
CUS00001,2022-01-05,Ads,Tier 2,Lagos
CUS00002,2022-01-10,Loan Campaign,Tier 2,Lagos
CUS00003,2022-01-22,Loan Campaign,Tier 2,Lagos
CUS00004,2022-05-20,Ads,Tier 3,Lagos
CUS00005,2022-02-27,Loan Campaign,Tier 1,Plateau
CUS00006,2022-02-11,Loan Campaign,Tier 1,Lagos
CUS00007,2022-03-07,Loan Campaign,Tier 1,Lagos
CUS00008,2022-03-08,Referral,Tier 2,Plateau
CUS00009,2022-04-15,Agent Network,Tier 1,Lagos
CUS00010,2022-03-03,Loan Campaign,Tier 2,Lagos
CUS00011,2022-03-06,Loan Campaign,Tier 1,Kaduna
CUS00012,2022-06-18,Agent Network,Tier 1,Lagos
CUS00013,2022-03-12,Referral,Tier 2,Lagos
CUS00014,2022-05-17,Ads,Tier 3,Lagos
CUS00015,2022-04-14,Ads,Tier 2,Lagos
CUS00016,2022-06-29,Referral,Tier 2,Plateau
CUS00017,2022-05-31,Agent Network,Tier 1,Plateau
CUS00018,2022-03-19,Ads,Tier 1,Lagos
CUS00019,2022-06-20,Agent Network,Tier 1,Plateau
CUS00020,2022-06-27,Referral,Tier 3,Lagos
CUS00021,2022-03-14,Loan Campaign,Tier 2,Lagos
CUS00022,2022-03-19,Ads,Tier 1,Kaduna
CUS00023,2022-02-17,Loan Campaign,Tier 1,Kaduna
CUS00024,2022-01-16,Ads,Tier 2,Lagos
CUS00025,2022-04-01,Referral,Tier 2,Kaduna
CUS00026,2022-01-03,Loan Campaign,Tier 2,Lagos
CUS00027,2022-05-26,Ads,Tier 2,Lagos
CUS00028,2022-01-16,Ads,Tier 1,Kaduna
CUS00029,2022-02-21,Loan Campaign,Tier 1,Lagos
CUS00030,2022-03-02,Loan Campaign,Tier 2,Lagos
CUS00031,2022-02-06,Loan Campaign,Tier 2,Kaduna
CUS00032,2022-06-28,Loan Campaign,Tier 1,Lagos
CUS00033,2022-02-05,Loan Campaign,Tier 1,Lagos
CUS00034,2022-01-16,Agent Network,Tier 2,Lagos
CUS00035,2022-03-15,Loan Campaign,Tier 1,Plateau
CUS00036,2022-02-02,Agent Network,Tier 1,Kaduna
CUS00037,2022-05-27,Ads,Tier 1,Lagos
CUS00038,2022-03-14,Direct,Tier 3,Lagos
CUS00039,2022-01-07,Loan Campaign,Tier 1,Lagos
CUS00040,2022-01-22,Loan Campaign,Tier 1,Plateau
CUS00041,2022-01-07,Loan Campaign,Tier 1,Lagos
CUS00042,2022-03-06,Ads,Tier 1,Lagos
CUS00043,2022-06-21,Loan Campaign,Tier 2,Lagos
CUS00044,2022-06-06,Ads,Tier 1,Lagos
CUS00045,2022-03-10,Direct,Tier 2,Lagos
CUS00046,2022-05-11,Loan Campaign,Tier 2,Lagos
CUS00047,2022-03-07,Loan Campaign,Tier 2,Lagos
CUS00048,2022-01-28,Ads,Tier 2,Lagos
CUS00049,2022-03-31,Loan Campaign,Tier 1,Plateau
CUS00050,2022-01-20,Agent Network,Tier 2,Kaduna
CUS00051,2022-01-19,Agent Network,Tier 1,Lagos
CUS00052,2022-06-17,Ads,Tier 1,Lagos
CUS00053,2022-02-07,Loan Campaign,Tier 1,Lagos
CUS00054,2022-05-22,Ads,Tier 3,Plateau
CUS00055,2022-01-29,Loan Campaign,Tier 1,Lagos
CUS00056,2022-05-26,Ads,Tier 1,Lagos
CUS00057,2022-06-28,Referral,Tier 2,Lagos
CUS00058,2022-06-15,Loan Campaign,Tier 1,Lagos
CUS00059,2022-02-15,Direct,Tier 2,Kaduna
CUS00060,2022-04-23,Ads,Tier 2,Lagos
CUS00061,2022-04-24,Referral,Tier 2,Kaduna
CUS00062,2022-03-11,Loan Campaign,Tier 1,Lagos
CUS00063,2022-03-04,Loan Campaign,Tier 1,Lagos
CUS00064,2022-01-15,Agent Network,Tier 1,Lagos
CUS00065,2022-01-20,Referral,Tier 3,Lagos
CUS00066,2022-02-03,Loan Campaign,Tier 1,Lagos
CUS00067,2022-03-22,Loan Campaign,Tier 2,Kaduna
CUS00068,2022-04-13,Agent Network,Tier 2,Plateau
CUS00069,2022-03-06,Loan Campaign,Tier 1,Lagos
CUS00070,2022-05-25,Loan Campaign,Tier 1,Lagos
CUS00071,2022-05-20,Direct,Tier 2,Plateau
CUS00072,2022-04-09,Ads,Tier 1,Kaduna
CUS00073,2022-01-18,Loan Campaign,Tier 1,Plateau
CUS00074,2022-02-02,Loan Campaign,Tier 2,Kaduna
CUS00075,2022-02-12,Ads,Tier 2,Lagos
CUS00076,2022-03-27,Loan Campaign,Tier 2,Lagos
CUS00077,2022-04-18,Loan Campaign,Tier 3,Lagos
CUS00078,2022-03-29,Loan Campaign,Tier 1,Lagos
CUS00079,2022-01-10,Loan Campaign,Tier 2,Kaduna
CUS00080,2022-05-01,Referral,Tier 2,Kaduna
CUS00081,2022-01-16,Loan Campaign,Tier 1,Lagos
CUS00082,2022-03-06,Ads,Tier 2,Kaduna
CUS00083,2022-02-21,Agent Network,Tier 2,Lagos
CUS00084,2022-06-16,Ads,Tier 1,Lagos
CUS00085,2022-03-09,Agent Network,Tier 1,Lagos
CUS00086,2022-03-19,Direct,Tier 2,Kaduna
CUS00087,2022-02-24,Agent Network,Tier 1,Plateau
CUS00088,2022-03-06,Agent Network,Tier 1,Kaduna
CUS00089,2022-02-26,Loan Campaign,Tier 1,Lagos
CUS00090,2022-05-22,Ads,Tier 3,Lagos
CUS00091,2022-03-16,Referral,Tier 2,Lagos
CUS00092,2022-01-01,Loan Campaign,Tier 2,Plateau
CUS00093,2022-05-24,Ads,Tier 1,Lagos
CUS00094,2022-06-28,Agent Network,Tier 1,Plateau
CUS00095,2022-03-29,Loan Campaign,Tier 2,Lagos
CUS00096,2022-03-20,Referral,Tier 2,Lagos
CUS00097,2022-03-06,Ads,Tier 2,Plateau
CUS00098,2022-02-25,Loan Campaign,Tier 1,Lagos
CUS00099,2022-01-28,Loan Campaign,Tier 1,Plateau
CUS00100,2022-03-04,Direct,Tier 2,Lagos
CUS00101,2022-02-15,Loan Campaign,Tier 2,Lagos
CUS00102,2022-05-03,Referral,Tier 2,Lagos
CUS00103,2022-02-15,Agent Network,Tier 1,Plateau
CUS00104,2022-01-05,Loan Campaign,Tier 1,Lagos
CUS00105,2022-03-30,Ads,Tier 2,Lagos
CUS00106,2022-03-16,Ads,Tier 1,Lagos
CUS00107,2022-01-02,Referral,Tier 2,Lagos
CUS00108,2022-05-16,Loan Campaign,Tier 1,Lagos
CUS00109,2022-03-24,Loan Campaign,Tier 1,Lagos
CUS00110,2022-04-14,Referral,Tier 2,Kaduna
CUS00111,2022-04-29,Loan Campaign,Tier 2,Lagos
CUS00112,2022-03-28,Ads,Tier 1,Lagos
CUS00113,2022-06-13,Loan Campaign,Tier 1,Plateau
CUS00114,2022-05-02,Loan Campaign,Tier 2,Lagos
CUS00115,2022-02-15,Ads,Tier 1,Lagos
CUS00116,2022-01-27,Loan Campaign,Tier 2,Lagos
CUS00117,2022-01-21,Loan Campaign,Tier 1,Lagos
CUS00118,2022-03-22,Loan Campaign,Tier 2,Plateau
CUS00119,2022-05-30,Referral,Tier 1,Kaduna
CUS00120,2022-03-15,Ads,Tier 1,Kaduna
