loan_id,customer_id,loan_taken,loan_amount,loan_defaulted
LON00001,CUS00001,No,,
LON00002,CUS00002,Yes,40000.0,No
LON00003,CUS00003,Yes,10000.0,No
LON00004,CUS00004,No,,
LON00005,CUS00005,Yes,20000.0,Yes
LON00006,CUS00006,Yes,20000.0,No
LON00007,CUS00007,No,,
LON00008,CUS00008,Yes,40000.0,No
LON00009,CUS00009,No,,
LON00010,CUS00010,Yes,20000.0,No
LON00011,CUS00011,Yes,20000.0,No
LON00012,CUS00012,Yes,20000.0,No
LON00013,CUS00013,No,,
LON00014,CUS00014,No,,
LON00015,CUS00015,No,,
LON00016,CUS00016,Yes,20000.0,Yes
LON00017,CUS00017,Yes,20000.0,Yes
LON00018,CUS00018,No,,
LON00019,CUS00019,No,,
LON00020,CUS00020,No,,
LON00021,CUS00021,Yes,40000.0,No
LON00022,CUS00022,No,,
LON00023,CUS00023,Yes,10000.0,Yes
LON00024,CUS00024,Yes,10000.0,Yes
LON00025,CUS00025,Yes,10000.0,No
LON00026,CUS00026,No,,
LON00027,CUS00027,No,,
LON00028,CUS00028,Yes,10000.0,Yes
LON00029,CUS00029,No,,
LON00030,CUS00030,Yes,20000.0,Yes
LON00031,CUS00031,Yes,40000.0,Yes
LON00032,CUS00032,No,,
LON00033,CUS00033,Yes,10000.0,Yes
LON00034,CUS00034,No,,
LON00035,CUS00035,Yes,10000.0,Yes
LON00036,CUS00036,No,,
LON00037,CUS00037,No,,
LON00038,CUS00038,No,,
LON00039,CUS00039,Yes,20000.0,Yes
LON00040,CUS00040,Yes,10000.0,No
LON00041,CUS00041,Yes,10000.0,No
LON00042,CUS00042,Yes,10000.0,Yes
LON00043,CUS00043,No,,
LON00044,CUS00044,No,,
LON00045,CUS00045,No,,
LON00046,CUS00046,No,,
LON00047,CUS00047,No,,
LON00048,CUS00048,Yes,10000.0,No
LON00049,CUS00049,Yes,20000.0,Yes
LON00050,CUS00050,No,,
LON00051,CUS00051,No,,
LON00052,CUS00052,Yes,20000.0,Yes
LON00053,CUS00053,Yes,20000.0,No
LON00054,CUS00054,No,,
LON00055,CUS00055,Yes,10000.0,No
LON00056,CUS00056,Yes,10000.0,No
LON00057,CUS00057,Yes,40000.0,No
LON00058,CUS00058,No,,
LON00059,CUS00059,Yes,40000.0,No
LON00060,CUS00060,No,,
LON00061,CUS00061,Yes,10000.0,Yes
LON00062,CUS00062,Yes,10000.0,Yes
LON00063,CUS00063,Yes,20000.0,No
LON00064,CUS00064,No,,
LON00065,CUS00065,No,,
LON00066,CUS00066,Yes,10000.0,Yes
LON00067,CUS00067,Yes,40000.0,No
LON00068,CUS00068,Yes,10000.0,No
LON00069,CUS00069,No,,
LON00070,CUS00070,No,,
LON00071,CUS00071,No,,
LON00072,CUS00072,No,,
LON00073,CUS00073,Yes,10000.0,No
LON00074,CUS00074,Yes,10000.0,Yes
LON00075,CUS00075,Yes,20000.0,No
LON00076,CUS00076,Yes,20000.0,No
LON00077,CUS00077,No,,
LON00078,CUS00078,Yes,20000.0,No
LON00079,CUS00079,Yes,10000.0,Yes
LON00080,CUS00080,Yes,30000.0,No
LON00081,CUS00081,Yes,20000.0,No
LON00082,CUS00082,Yes,40000.0,No
LON00083,CUS00083,No,,
LON00084,CUS00084,No,,
LON00085,CUS00085,No,,
LON00086,CUS00086,No,,
LON00087,CUS00087,No,,
LON00088,CUS00088,No,,
LON00089,CUS00089,Yes,20000.0,Yes
LON00090,CUS00090,Yes,50000.0,Yes
LON00091,CUS00091,Yes,10000.0,Yes
LON00092,CUS00092,Yes,10000.0,No
LON00093,CUS00093,No,,
LON00094,CUS00094,No,,
LON00095,CUS00095,Yes,30000.0,Yes
LON00096,CUS00096,Yes,40000.0,No
LON00097,CUS00097,Yes,30000.0,Yes
LON00098,CUS00098,Yes,20000.0,No
LON00099,CUS00099,Yes,10000.0,No
LON00100,CUS00100,No,,
LON00101,CUS00101,Yes,20000.0,Yes
LON00102,CUS00102,Yes,30000.0,Yes
LON00103,CUS00103,No,,
LON00104,CUS00104,Yes,10000.0,No
