customer_id,frequency,monetary,recency,pre_pivot_frequency,pivot_ratio,product_diversity,loan_taken,loan_defaulted,clusters
CUS00001,11,351800.0,6,10,1.0,4,0,0,4
CUS00002,1,90250.0,27,10,0.0909,1,1,0,3
CUS00003,0,0.0,184,6,0.0,0,1,0,3
CUS00004,15,1122650.0,13,9,1.5,5,0,0,0
CUS00005,0,0.0,184,3,0.0,0,1,1,1
CUS00006,1,90200.0,161,4,0.2,1,1,0,3
CUS00007,0,0.0,184,1,0.0,0,0,0,2
CUS00008,8,224250.0,29,10,0.7273,3,1,0,4
CUS00009,3,19650.0,42,2,1.0,2,0,0,2
CUS00010,0,0.0,184,3,0.0,0,1,0,3
CUS00011,1,35100.0,157,10,0.0909,1,1,0,3
CUS00012,1,52800.0,170,3,0.25,1,1,0,3
CUS00013,6,244000.0,25,9,0.6,4,0,0,4
CUS00014,6,520650.0,1,8,0.6667,3,0,0,4
CUS00015,15,586100.0,7,12,1.1538,4,0,0,0
CUS00016,9,174350.0,17,11,0.75,3,1,1,4
CUS00017,2,113600.0,74,1,1.0,2,1,1,1
CUS00018,0,0.0,184,5,0.0,0,0,0,2
CUS00019,0,0.0,184,1,0.0,0,0,0,2
CUS00020,4,57750.0,1,5,0.6667,4,0,0,4
CUS00021,0,0.0,184,8,0.0,0,1,0,3
CUS00022,3,77800.0,56,3,0.75,2,0,0,2
CUS00023,0,0.0,184,3,0.0,0,1,1,1
CUS00024,0,0.0,184,7,0.0,0,1,1,1
CUS00025,8,410250.0,5,10,0.7273,3,1,0,4
CUS00026,3,21250.0,12,4,0.6,2,0,0,2
CUS00027,3,32200.0,140,2,1.0,2,0,0,2
CUS00028,0,0.0,184,7,0.0,0,1,1,1
CUS00029,0,0.0,184,5,0.0,0,0,0,2
CUS00030,1,1450.0,84,5,0.1667,1,1,1,1
CUS00031,1,1700.0,94,5,0.1667,1,1,1,1
CUS00032,0,0.0,184,1,0.0,0,0,0,2
CUS00033,1,1550.0,83,3,0.25,1,1,1,1
CUS00034,3,101850.0,1,2,1.0,2,0,0,2
CUS00035,0,0.0,184,10,0.0,0,1,1,1
CUS00036,0,0.0,184,2,0.0,0,0,0,2
CUS00037,0,0.0,184,2,0.0,0,0,0,2
CUS00038,10,437350.0,16,8,1.1111,4,0,0,0
CUS00039,1,1800.0,63,9,0.1,1,1,1,1
CUS00040,1,81750.0,45,10,0.0909,1,1,0,3
CUS00041,0,0.0,184,7,0.0,0,1,0,3
CUS00042,1,1900.0,117,9,0.1,1,1,1,1
CUS00043,1,48500.0,102,2,0.3333,1,0,0,2
CUS00044,2,39600.0,121,2,0.6667,2,0,0,2
CUS00045,7,221050.0,1,10,0.6364,3,0,0,4
CUS00046,0,0.0,184,4,0.0,0,0,0,2
CUS00047,8,371700.0,6,12,0.6154,4,0,0,4
CUS00048,8,216500.0,12,8,0.8889,4,1,0,4
CUS00049,0,0.0,184,3,0.0,0,1,1,1
CUS00050,3,30650.0,52,5,0.5,2,0,0,2
CUS00051,3,82950.0,67,1,1.5,2,0,0,2
CUS00052,9,417800.0,12,5,1.5,3,1,1,4
CUS00053,0,0.0,184,10,0.0,0,1,0,3
CUS00054,15,760650.0,23,5,2.5,6,0,0,0
CUS00055,0,0.0,184,8,0.0,0,1,0,3
CUS00056,6,204550.0,11,7,0.75,2,1,0,4
CUS00057,5,215950.0,11,6,0.7143,2,1,0,4
CUS00058,6,66100.0,8,13,0.4286,2,0,0,4
CUS00059,13,539500.0,17,8,1.4444,4,1,0,0
CUS00060,5,117750.0,20,4,1.0,3,0,0,4
CUS00061,7,437500.0,29,8,0.7778,4,1,1,4
CUS00062,1,550.0,133,6,0.1429,1,1,1,1
CUS00063,1,48850.0,4,10,0.0909,1,1,0,3
CUS00064,0,0.0,184,4,0.0,0,0,0,2
CUS00065,7,286450.0,100,5,1.1667,4,0,0,4
CUS00066,1,60100.0,117,10,0.0909,1,1,1,1
CUS00067,1,45050.0,119,7,0.125,1,1,0,3
CUS00068,0,0.0,184,1,0.0,0,1,0,3
CUS00069,0,0.0,184,8,0.0,0,0,0,2
CUS00070,1,1300.0,134,4,0.2,1,0,0,2
CUS00071,10,355100.0,41,6,1.4286,4,0,0,0
CUS00072,2,38300.0,55,5,0.3333,2,0,0,2
CUS00073,0,0.0,184,2,0.0,0,1,0,3
CUS00074,0,0.0,184,6,0.0,0,1,1,1
CUS00075,0,0.0,184,6,0.0,0,1,0,3
CUS00076,1,138650.0,72,3,0.25,1,1,0,3
CUS00077,6,201450.0,40,6,0.8571,4,0,0,4
CUS00078,1,1550.0,139,9,0.1,1,1,0,3
CUS00079,0,0.0,184,7,0.0,0,1,1,1
CUS00080,9,393900.0,11,15,0.5625,4,1,0,4
CUS00081,1,4600.0,15,6,0.1429,1,1,0,3
CUS00082,0,0.0,184,5,0.0,0,1,0,3
CUS00083,1,650.0,35,2,0.3333,1,0,0,2
CUS00084,2,6850.0,123,2,0.6667,2,0,0,2
